,build_year,lat,lng,total_building,total_house,wy_fee
0,2009,106.488975,29.560175,6,1584,1.6
1,2003,106.488975,29.560175,20,3138,0.9
2,2007,0,0,9,1899,1.1
3,2014,106.488975,29.560175,12,1254,2.2
4,2014,106.488975,29.560175,12,1254,2.2
5,0,106.478402,29.557803,2,208,0.0
6,2008,106.488975,29.560175,6,1194,1.8
7,2008,0,0,9,1961,1.2
8,2003,106.488975,29.560175,20,3138,0.9
9,2009,106.488975,29.560175,6,1584,1.6
10,2003,106.488975,29.560175,20,3138,0.9
11,2012,106.478968,29.563674,21,4959,1.8
12,2003,106.488975,29.560175,20,3138,0.9
13,2008,0,0,9,1961,1.2
14,2008,0,0,9,1961,1.2
15,2003,106.488975,29.560175,20,3138,0.9
16,2009,106.488975,29.560175,6,1584,1.6
17,2015,106.488975,29.560175,4,1044,2.2
18,2008,0,0,9,1961,1.2
19,2008,0,0,9,1961,1.2
20,2012,106.478968,29.563674,21,4959,1.8
21,2008,0,0,9,1961,1.2
22,2007,0,0,9,1899,1.1
23,2009,106.488975,29.560175,6,1584,1.6
24,2003,106.488975,29.560175,20,3138,0.9
25,2007,0,0,9,1899,1.1
26,2014,106.488975,29.560175,12,1254,2.2
27,2014,106.488975,29.560175,12,1254,2.2
28,0,106.478402,29.557803,2,208,0.0
29,2008,106.488975,29.560175,6,1194,1.8
30,2008,0,0,9,1961,1.2
31,2003,106.488975,29.560175,20,3138,0.9
32,2009,106.488975,29.560175,6,1584,1.6
33,2003,106.488975,29.560175,20,3138,0.9
34,2012,106.478968,29.563674,21,4959,1.8
35,2003,106.488975,29.560175,20,3138,0.9
36,2008,0,0,9,1961,1.2
37,2008,0,0,9,1961,1.2
38,2003,106.488975,29.560175,20,3138,0.9
39,2009,106.488975,29.560175,6,1584,1.6
40,2015,106.488975,29.560175,4,1044,2.2
41,2008,0,0,9,1961,1.2
42,2008,0,0,9,1961,1.2
43,2012,106.478968,29.563674,21,4959,1.8
44,2008,0,0,9,1961,1.2
45,2007,0,0,9,1899,1.1
46,2009,106.488975,29.560175,6,1584,1.6
47,2003,106.488975,29.560175,20,3138,0.9
48,2007,0,0,9,1899,1.1
49,2014,106.488975,29.560175,12,1254,2.2
50,2014,106.488975,29.560175,12,1254,2.2
51,0,106.478402,29.557803,2,208,0.0
52,2008,106.488975,29.560175,6,1194,1.8
53,2008,0,0,9,1961,1.2
54,2003,106.488975,29.560175,20,3138,0.9
55,2009,106.488975,29.560175,6,1584,1.6
56,2003,106.488975,29.560175,20,3138,0.9
57,2012,106.478968,29.563674,21,4959,1.8
58,2003,106.488975,29.560175,20,3138,0.9
59,2008,0,0,9,1961,1.2
60,2008,0,0,9,1961,1.2
61,2003,106.488975,29.560175,20,3138,0.9
62,2009,106.488975,29.560175,6,1584,1.6
63,2015,106.488975,29.560175,4,1044,2.2
64,2008,0,0,9,1961,1.2
65,2008,0,0,9,1961,1.2
66,2012,106.478968,29.563674,21,4959,1.8
67,2008,0,0,9,1961,1.2
68,2007,0,0,9,1899,1.1
69,2009,106.488975,29.560175,6,1584,1.6
70,2003,106.488975,29.560175,20,3138,0.9
71,2007,0,0,9,1899,1.1
72,2014,106.488975,29.560175,12,1254,2.2
73,2014,106.488975,29.560175,12,1254,2.2
74,0,106.478402,29.557803,2,208,0.0
75,2008,106.488975,29.560175,6,1194,1.8
76,2008,0,0,9,1961,1.2
77,2003,106.488975,29.560175,20,3138,0.9
78,2009,106.488975,29.560175,6,1584,1.6
79,2003,106.488975,29.560175,20,3138,0.9
80,2012,106.478968,29.563674,21,4959,1.8
81,2003,106.488975,29.560175,20,3138,0.9
82,2008,0,0,9,1961,1.2
